UAV1X	UAV1Y	UAV1Z	UAV1situation	UAV1_t	UAV2X	UAV2Y	UAV2Z	UAV2situation	UAV2_t	UAV3X	UAV3Y	UAV3Z	UAV3situation	UAV3_t	
5.13001	9.23404	2.63902	4	6.30054	50.1427	16.9873	10.0651	5	6.30058	71.0463	0.567603	5	4	6.3006	
4.7749	8.59483	2.68903	4	6.33312	50.2242	17.1923	10.1828	5	6.33321	70.2966	0.547383	5	4	6.33323	
4.35003	7.83007	2.7524	4	6.36678	50.3082	17.3962	10.3005	5	6.36681	69.5469	0.527163	5	4	6.36681	
3.99726	7.19507	2.80839	4	6.37948	50.3656	17.5318	10.3789	5	6.37953	68.6472	0.5029	5	4	6.37955	
3.6459	6.56263	2.86767	4	6.41465	50.4541	17.7345	10.4964	5	6.41468	67.8974	0.48268	5	4	6.41469	
3.2266	5.80789	2.94388	4	6.43657	50.5448	17.9363	10.614	5	6.43661	67.1477	0.462461	5	4	6.43662	
2.87964	5.18336	3.01233	4	6.45584	50.6072	18.0709	10.6922	5	6.45587	66.248	0.438197	5	4	6.45587	
2.53557	4.56404	3.08612	4	6.4688	50.7022	18.2714	10.8097	5	6.46883	65.4983	0.417978	5	4	6.46883	
2.12777	3.82999	3.18322	4	6.48238	50.8001	18.4717	10.9269	5	6.48241	64.7485	0.397758	5	4	6.48241	
1.79374	3.22875	3.2729	4	6.50112	50.8665	18.6046	11.0051	5	6.50114	63.8488	0.373494	5	4	6.50115	
1.46724	2.64103	3.37255	4	6.52186	50.9685	18.8038	11.1222	5	6.52195	63.0991	0.353275	5	4	6.52195	
1.09023	1.96242	3.50899	4	6.53524	51.0725	19.002	11.2394	5	6.53527	62.3494	0.333055	5	4	6.53527	
0.795246	1.43145	3.64081	4	6.54912	51.1434	19.1341	11.3173	5	6.54915	61.4497	0.308791	5	4	6.54916	
0.528237	0.950829	3.79358	4	6.57203	51.2513	19.3312	11.4343	5	6.57206	60.7	0.288572	5	4	6.57206	
0.289014	1.27955	3.98678	4	6.60229	51.3619	19.5281	11.5511	5	6.60233	59.9503	0.268352	5	4	6.60234	
0.192591	1.92027	4.09984	4	6.62304	51.4362	19.6585	11.629	5	6.62306	59.0506	0.244089	5	4	6.62307	
0.13024	2.59358	4.19695	4	6.64856	51.5505	19.8545	11.7456	5	6.64858	58.3009	0.223869	5	4	6.64859	
0.0789063	3.41394	4.30599	4	6.67354	51.6665	20.0494	11.8622	5	6.67356	57.5512	0.20365	5	4	6.67357	
0.0533969	4.12066	4.38073	4	6.68704	51.745	20.1791	11.9398	5	6.68709	56.6515	0.179386	5	4	6.6871	
0.0354327	4.83275	4.45048	4	6.70961	51.8645	20.3731	12.0562	5	6.70963	55.9018	0.159167	5	4	6.70964	
0.021742	5.6987	4.52338	4	6.73156	51.9865	20.567	12.1724	5	6.73161	55.1521	0.138947	5	4	6.73163	
0.014837	6.42957	4.5737	4	6.76143	52.0689	20.6959	12.2498	5	6.76145	54.2524	0.114684	5	4	6.76146	
0.00991	7.16247	4.62101	4	6.79559	52.1942	20.8889	12.3659	5	6.79565	53.5027	0.0944642	5	4	6.79566	
0.00669724	7.89973	4.66195	4	6.82463	52.3209	21.0809	12.4819	5	6.82465	52.753	0.0742448	5	4	6.82466	
0.00419099	8.78796	4.70517	4	6.8575	52.407	21.2092	12.559	5	6.85753	51.8533	0.0499815	5	4	6.85753	
0.00280792	9.52996	4.73766	4	6.87491	52.5368	21.4004	12.6749	5	6.87493	51.2119	0.325115	5	4	6.87494	
0.00190217	10.274	4.76584	4	6.89139	52.6689	21.5915	12.7905	5	6.89142	50.791	0.938311	5	4	6.89143	
0.00119304	11.1684	4.79564	4	6.90813	52.7576	21.7184	12.8676	5	6.90817	50.5276	1.63866	5	4	6.90818	
0.000800497	11.9146	4.81809	4	6.92863	52.8925	21.9087	12.983	5	6.92866	50.3212	2.51384	5	4	6.92867	
0.0005429	12.6617	4.83758	4	6.95817	53.0287	22.0982	13.0984	5	6.95821	50.2168	3.25655	5	4	6.95822	
0.000340877	13.559	4.8582	4	6.98221	53.1208	22.2246	13.1753	5	6.98225	50.1477	4.00336	5	4	6.98225	
0.000228879	14.3072	4.87375	4	7.00109	53.2597	22.4132	13.2905	5	7.00113	50.1193	4.79056	4.88174	6	7.00115	
0.000155312	15.0558	4.88726	4	7.03527	53.3535	22.5391	13.3672	5	7.03529	50.105	5.4128	4.75623	6	7.0353	
9.75678e-05	15.9546	4.90157	4	7.05032	53.495	22.727	13.4823	5	7.05035	50.0912	6.0161	4.62265	6	7.05035	
6.55333e-05	16.7037	4.91235	4	7.06745	53.6386	22.9151	13.5971	5	7.06748	50.0754	6.70914	4.45054	6	7.06748	
4.44809e-05	17.453	4.92172	4	7.10076	53.7345	23.0397	13.6738	5	7.10081	50.0629	7.2548	4.29627	6	7.10083	
2.79502e-05	18.3524	4.93165	4	7.13521	53.8805	23.2271	13.7884	5	7.13526	50.0512	7.76479	4.13139	6	7.13528	
1.87764e-05	19.102	4.93914	4	7.15334	54.0286	23.4147	13.9028	5	7.15339	50.0385	8.31961	3.91896	6	7.1534	
1.27461e-05	19.8517	4.94564	4	7.18025	54.1274	23.5389	13.9792	5	7.18027	50.0292	8.72567	3.7299	6	7.18028	
8.01018e-06	20.7514	4.95253	4	7.21228	54.2777	23.7259	14.0934	5	7.21233	50.0212	9.07372	3.53069	6	7.21235	
5.38148e-06	21.5012	4.95773	4	7.23942	54.4289	23.9121	14.2076	5	7.23946	50.0135	9.40956	3.28034	6	7.23946	
3.65338e-06	22.251	4.96225	4	7.27267	54.5304	24.036	14.2837	5	7.27271	50.0087	9.62138	3.06457	6	7.27271	
2.29606e-06	23.1509	4.96704	4	7.29912	54.6836	24.2217	14.3978	5	7.29915	50.0051	9.7759	2.84445	6	7.29916	
